,Full,Ridge,Lasso-min,Lasso-1se,Lasso-refit,PCR
0,0.03666675455496983,0.027366891273990456,0.028712293666210167,0.03217856117708264,0.03135722090891443,0.028023270467987988
1,0.09541973135524026,0.042971013799087625,0.04484835063781863,0.041082264175426035,0.04433446989741805,0.05503635355206473
2,0.0506665889502698,0.037075007978105014,0.03697614039522904,0.03966102249404733,0.03688901786153537,0.0425435876530572
3,0.038383718672382626,0.036692576771415776,0.03559213302936751,0.03736830094134489,0.0422995100926848,0.042472678616189335
4,0.06041428308093233,0.03972675769998745,0.04721286722644689,0.03836577380329866,0.054209215998265385,0.037761948973652044
5,0.03887224318120944,0.030660143623926134,0.03025015267434821,0.033585662868028644,0.03121258616358772,0.03276828480712397
6,0.03973902818263669,0.03163509671163273,0.031224618810773902,0.031144756628510177,0.03291507175391405,0.038831203119851526
7,0.059595974282865276,0.037732269933610285,0.03897386205378835,0.03712910931857378,0.04409993942709831,0.04107417447468108
8,0.048260366895865804,0.03171964438383568,0.03374300018195324,0.03000181836366508,0.0330695836175879,0.03042425385935226
9,0.035046884013676574,0.03587988097433478,0.03815741492533751,0.04018660201738774,0.03989686796247855,0.04095151548303659
10,0.16635945501448154,0.058270142819293054,0.05658300953023553,0.041202321530609584,0.05371164448431094,0.07265779811466701
11,0.057391727373405754,0.03542204927661414,0.03494296405092816,0.03553146259965934,0.03559892004867287,0.04078450232664842
12,0.04678393740565157,0.03885816998193547,0.037436357830961275,0.03533697826745171,0.03651691861663792,0.04476298146550218
13,0.06639915875618745,0.03465880319215577,0.03315884669225375,0.03706660394266667,0.037747442447789575,0.03893115493598857
14,0.05390398590827288,0.03667203243581421,0.038008927509838905,0.04302111526750592,0.04183063560428955,0.037486607564242574
15,0.04895921678340892,0.039387722458374776,0.0345552249837693,0.03688509223267442,0.03646811683882619,0.03641565966874503
16,0.13809045818197907,0.03236973248911263,0.036965450361417955,0.030894613266865167,0.03407102402846426,0.13809045818198734
17,0.052134939608361804,0.021366065459650547,0.02249230990238932,0.021306647371621384,0.027341326370759197,0.04599506570843164
